"","taxa","myc"
"702","Croton_willdenowii","AM"
"703","Croton_michauxii","AM"
"704","Croton_coryi","AM"
"705","Croton_argyranthemus","AM"
"706","Croton_dioicus","AM"
"707","Croton_neomexicanus","AM"
"708","Croton_bigbendensis","AM"
"709","Croton_texensis","AM"
"710","Croton_californicus","AM"
"711","Croton_wigginsii","AM"
"712","Croton_punctatus","AM"
"713","Croton_parksii","AM"
"714","Croton_malambo","AM"
"715","Croton_cuneatus","AM"
"716","Croton_yavitensis","AM"
"717","Croton_roraimensis","AM"
"718","Croton_domatifer","AM"
"719","Croton_organensis","AM"
"720","Croton_cajucara","AM"
"721","Croton_sphaerogynus","AM"
"722","Croton_salutaris","AM"
"723","Croton_campanulatus","AM"
"724","Croton_hemiargyreus","AM"
"725","Croton_billbergianus","AM"
"726","Croton_fragrantulus","AM"
"727","Croton_hoffmannii","AM"
"728","Croton_warmingii","AM"
"729","Croton_rottlerifolius","AM"
"730","Croton_orinocensis","AM"
"731","Croton_spruceanus","AM"
"732","Croton_pseudofragrans","AM"
"733","Croton_fragrans","AM"
"734","Croton_cupreatus","AM"
"735","Croton_euryphyllus","AM"
"736","Croton_lachnocarpus","AM"
"737","Croton_dockrillii","AM"
"738","Croton_levatii","AM"
"739","Croton_ripensis","AM"
"740","Croton_coriifolius","AM"
"741","Croton_rheophyticus","AM"
"742","Croton_fluviatilis","AM"
"743","Croton_kongensis","AM"
"744","Croton_tiglium","AM"
"745","Croton_megalobotrys","AM"
"746","Croton_talaeporos","AM"
"747","Croton_jatrophoides","AM"
"748","Croton_sylvaticus","AM"
"749","Croton_macrostachyus","AM"
"750","Croton_stellulifer","AM"
"751","Croton_schultzii","AM"
"752","Croton_argyratus","AM"
"753","Croton_yunnanensis","AM"
"754","Croton_magneticus","AM"
"755","Croton_acronychioides","AM"
"756","Croton_cordatulus","AM"
"757","Croton_insularis","AM"
"758","Croton_mamillatus","AM"
